Gene_Symbol	Day_0_R1	Day_0_R2	Day_0_R3	Day_7_R1	Day_7_R2	Day_7_R3	Comments
ABCD4	2647,5469862888544	2263,3900481217147	2193,7168720751065 	3072,9118852052707	3226,576274958604	3295,200282770912 	
ABCE1	16496,215795742097	14339,505110735792	14341,621068714745 	10197,69304577155	9915,724257439088	10477,555149892738 	
ABCF1	6502,029798648752	5799,214012803636	5655,9328440277295 	5132,506049131855	5237,180305715661	5606,138000867907 	
ABCF2	4563,451134048967	3913,1931267816626	3865,154214427646	3393,4799079889235	3374,3174728810804	3733,9342922117876 	
ABCF3	2718,37444718074	2421,834722310079	2387,8871524840856 	2381,83539589055	2513,4433988232518	2613,6161951886033	
ABCG1	39,30448696129706	32,61668062189959	35,81332918285183 	26,10478000151715	18,11098370846798	25,643759468292217	
ABCG2	301,69971273520315	287,1739247898657	274,0012523921594	284,40983642653623	305,85482221384683	304,9711196776349	
ABCG4	0,0	9,331923497187775	6,6973591071881895	0,20514428138261298	0,7266308671881867	12,45240520554062 	
ABCG5	0,0	0,0	0,3034625316720201	0,0	3,763518752760576	0,0 	
ABCG8	0,0	14,87367296562515	11,834695752766219 	0,0	14,207120003523512	0,0	
ABHD1	34,12921814362006	13,230636656751045	34,40045825004157 	15,190357857786251	17,985864497559422	27,270520874241896	
ABHD10	2093,464320022041	1830,477230833904	1725,391893128506	1574,351836246363	1575,1035080137985	1741,6927123076002 	
ABHD11	2189,8451279344313	2017,6605594995713	1784,2516384094108 	867,9899587991413	899,1198581232962	960,4147778432593 	
ABHD12	8796,290757594075	7662,16743969567	7120,834800588432 	5588,5358394990335	5528,376977245002	5957,385175866266 	
ABHD12B	104,24414088023504	97,25957919743523	105,4324270855307 	93,21673136447353	79,96366101044387	101,22060168061398 	
ABHD13	1069,144292676928	957,1156050466827	956,8172897606315	889,8152435172464	925,725168687377	905,3882451827957 	
ABHD14A	744,2237442976605	725,9345217875616	627,3824624632086	1703,8514787996505	1637,6131479144406	1784,777647304267	
ABHD14B	3910,394517163287	3539,7233320351806	3164,251499831705	3302,858728246086	3300,3360467129064	3504,491286777189 	
ABHD15	844,4794718327604	793,1622656431405	768,9733990903844	500,20002754031174	526,0062993352416	567,843188444474	
ABHD16A	2443,205696880508	2068,401361486455	1979,1835510184333	1617,3603959259847	1656,6330601837024	1740,1406844112294 	
ABHD16B	284,4747403618071	253,87355494134096	187,7041179797684	249,69703250222204	287,4919956191766	273,19740556524056 	
ABHD17A	1389,0838086349697	1366,2160643921388	1157,7091879644634 	1213,9767371426606	1350,086844163894	1401,7502645210172	
ABHD17B	1445,7863971198938	1275,0299583806827	1210,265826960788 	1141,9483412084232	1300,3639406020748	1186,3961663982618	
ABHD17C	2163,570866764483	1766,4391832862411	1762,9294042600916 	490,0883401730522	472,35547737132237	491,77354169060345 	
ABHD18	1600,7980036738327	1337,3656094933551	1428,128920360528 	992,7744766373125	921,5796394915125	1044,1913288637868	
ABHD2	11155,096060196129	9509,470977100931	9377,38269887444 	6484,93188985458	6663,63193179643	7041,288692646843	
ABHD3	1166,1178318639961	1015,6882896745363	996,250878361474	413,5322065814788	398,42631225695624	448,58973326620026	
ABHD4	2611,158687772458	2128,6692468738834	1935,4897218559897	3881,5232249664637	3943,8308152377476	4326,910832470197	
ABHD5	2008,0422545108042	1762,79347403056	1657,9755702646962	1126,2008719950452	1076,458535652723	1127,5769292465407	
ABHD6	312,5714404118159	270,96314546662614	274,83322352953354 	296,30502773242523	299,5706178049165	305,62948248264644	
ABHD8	265,64537797242605	232,14004388543245	221,7098879595664	389,5981567431722	386,90438152454436	375,7348301481557	
ABI1	2936,307548576052	2539,0661991590546	2402,5796663863307	1919,4856850357096	2075,9084624896805	2023,202776098007	
ABI2	5028,1752724881	4319,926756743892	4081,5716226466757	5300,138601472943	5363,292510331098	5602,614100725441	
ABI3	0,0	10,180152822110173	0,0 	11,27153393869073	3,0326006774529684	7,0234525599422595 	
ABI3BP	14,645596733249747	16,19757558652619	1,7614137056156576 	24,271758479174817	30,92419063615114	22,91087817123266	
ABL1	11103,403880033908	9398,24720762125	9141,148668899103	10928,108399378058	11237,092210831674	11841,577706263399 	
ABL2	9582,895134072642	8099,507219530095	7988,568343354393 	8466,300460757415	8583,621286246349	9161,852982425318 	
ABLIM1	7983,8884003740295	6885,383659029242	6624,009669217763 	7119,57208979137	7234,764497086515	7746,207503784535	
ABLIM2	142,04882107584737	120,71536164682642	97,85688970494932 	384,07482080676573	398,3005305197115	446,3414062645367 	
ABLIM3	2929,319733620101	2631,812297922456	2405,5936757580403 	1334,198758596967	1319,1820766288638	1467,553224794233 	
ABO	155,35256728238758	118,51770470949566	122,40629553004395	67,17888242340148	58,29243847486623	80,60020270615921 	
ABR	5300,388714534122	4594,317314651073	4396,71856517175	5083,583487778196	5120,813382326133	5430,922491181916	
ABRA	11,346366509889785	28,009418611062358	14,863322704257167 	17,299837558748116	21,161181271385974	7,09447482331185 	
ABRACL	1316,9848241643954	1212,306098129452	1088,8877003804196 	421,87886673773136	444,4653560017512	473,5426554276982	
ABT1	2296,7925410223543	2023,4640724871872	1875,0198386123511	1385,5098511880992	1346,3747931113928	1463,316837792357	
ABTB1	585,1160560521816	550,3619627047498	427,55708224764834 	868,3038460956195	914,1037790451563	953,6677829445935	
ABTB2	1025,838958457807	900,8092097107449	840,997878250171	524,509554958366	582,7599288977884	593,2053223487492	
ACAA1	2194,5032079586726	1968,0183857466	1883,0215519527067	1091,7324598287132	1181,1756501181724	1285,2740466738992	
ACAA2	762,2269732513575	583,2738066605281	634,8860494880067	401,5986015639451	402,9454179534639	429,0077803018797 	
ACACA	15655,091481761492	13200,007085396683	13118,785917637086 	5916,92942991638	6098,830249965344	6408,610585179096 	
ACACB	371,1956348251984	288,9616275225168	303,5001374852947	320,6484688543897	325,77898446321274	335,25674283116706 	
ACAD10	1599,9906264627969	1376,573647626507	1335,5482468950995	1894,5925538715899	1918,2400841688582	2042,582201872644	
ACAD11	1361,672702932213	1089,9472757625967	1049,2089643977445	2081,3963127299758	2301,232631322136	2344,317450646328 	
ACAD8	2125,388879070203	1911,2288957806782	1850,0817564516803	1813,1510124298138	1918,1896866294785	2017,2157062016959	
ACAD9	2559,1894597206756	2219,965105329557	2056,9121373793114	2129,0148065292224	2086,9131525894004	2115,7427752266944 	
ACADL	23,04760904173564	7,787631274484479	1,1426068611356002 	8,707594257676533	9,911014541475327	19,344533527300275 	
ACADM	2730,251075656717	2376,126848291863	2344,284374277618 	2401,603552828377	2613,629416925835	2484,5549052941074	
ACADS	826,7684170487425	724,8196373223782	621,5054330900892 	752,3128973009715	764,9228553435587	830,4183586664255	
ACADSB	1179,1846402459869	993,789082492059	962,6988679572943	1202,1647448514589	1262,6053762928516	1340,075825982854 	
ACADVL	8766,49353091987	7710,708928272261	7106,446076944416 	6124,379394950521	6593,367346973959	6756,550667497461 	
ACAN	11,053015626782932	3,7107256862774674	0,0 	0,0	0,0	1,571011261764803 	
ACAP1	99,15997676129854	91,2060799399182	66,19594848557993 	68,84265106257931	81,314321559133	70,73884447471455	
ACAP2	4743,408858524046	4199,550662884914	3971,4597883440806	3255,691599136312	3534,478892743582	3404,0143288586705	
ACAP3	3945,3223325264044	3771,6863475762316	3402,3895359179764 	3047,028602744595	3218,7533209112307	3226,0974483981818	
ACAT1	3871,0117457506253	3271,653701337283	3227,1639460350075 	4316,170283176621	4292,714893247334	4537,810764056838	
ACAT2	2500,8480227552595	2216,687475270789	2156,947903758362	989,3831493055245	1028,3751838325754	1098,1633994694585 	
ACBD3	3682,373454486886	3363,2180291401937	3026,4850475423937 	2307,906348153368	2486,3650149720343	2521,128326602084	
ACBD4	803,7414447643195	749,7146030372713	655,976072744087	549,3490229132406	538,5838555697254	584,8855974164259	
ACBD5	2287,997643184249	2051,338563338847	1938,8869692973444 	1925,3439213334718	1974,942981037563	1965,6842339896773 	
ACBD6	2353,5868727572215	2049,503093554572	2040,678320562003	1447,1676593233824	1420,2768399077986	1488,7311042525225 	
ACBD7	1066,774754505727	941,2463496993385	871,3447984580305 	437,18867213406924	465,23696154077527	424,2010199586959 	
ACCS	375,44199108224956	330,9131989255569	295,249567519223 	603,8920450263065	591,6105191377625	606,0799519215789 	
ACCSL	9,98139085291238	10,21514191080875	0,0	10,399250562445893	11,571536240406225	0,0 	
ACD	1724,8505363827098	1480,0169840259055	1396,4483558943714	779,6488227297461	806,2513761807713	846,5913308069095	
ACE	31,948528619073574	42,02422687442433	35,34750276953863 	43,029844224257154	23,62895083444752	42,117886138184026	
ACE2	0,0	7,578058870722929	21,2793416267017 	6,483633334616044	0,18405487170220436	1,4976852245645862 	
ACER1	0,0	0,0	0,0	2,775903126656685	1,7223335635597001	4,6051256203730615 	
ACER2	130,60090337065483	86,29084438158279	102,7904827881871 	28,496998353730895	47,54705682386458	41,471545131222314	
ACER3	2270,6984097534973	1940,6197629938183	1929,6810816460668	1334,750765167549	1343,2893909543404	1443,574445769723	
ACHE	43,56905073405141	33,84106453940963	29,150194899032734 	26,871005115151682	34,51815120707743	38,55531224443611	
ACIN1	16976,438878301156	15392,269600661832	14147,270674833375	15565,179531862506	16246,277387708842	16852,71130024516 	
ACKR1	0,0	7,551407890381137	7,028985388962797 	0,1914459358400663	4,938888449672956	7,021118367414788	
ACKR2	56,09911746907611	71,42764535187628	64,00696398182029 	69,21930780988126	54,75395400952513	47,85690384826642	
ACKR3	0,0	11,708197664264933	5,799018001181688 	48,47088745063734	51,66605251181792	63,26663816294848	
ACKR4	24,29402347950043	20,109996192983935	17,86855577069978	9,96287039425832	13,579954403758862	12,6984475375392	
ACLY	21257,94941624968	18442,920551687625	17809,945649057638 	13548,861975495403	13711,974840198787	14505,58077244037	
ACMSD	11,845876011071043	0,0	15,951237399637956 	0,0	0,0	12,683907281172626	
ACO1	4697,576656338522	3997,553191862622	4037,465068438888	3872,949232263797	3739,058398424994	4020,6734527543417 	
ACO2	7387,58533084265	6377,835724957501	6164,638993025864 	7094,666100355338	6967,198849198179	7367,682037668452 	
ACOD1	22,394538092484176	1,439333315389976	3,4766378400953815	2,274852137482664	0,0	3,9521678733380035 	
ACOT1	845,0156925032555	717,35365428923	698,2101862930658	720,2935689492265	713,2279098182801	813,90380884174	
ACOT11	644,6764979280391	571,8953397758785	527,6281776691327 	167,39500003666774	179,61226179046025	159,5313218717892	
ACOT12	26,79616077399467	11,254424663069669	0,0 	27,807621722066237	16,89072097788734	20,774204199875054	
ACOT13	2679,0369651096785	2409,192756079209	2170,402328867713	1247,7909504183528	1283,1175968550965	1410,2922203430908 	
ACOT2	3463,1793311365764	3051,4387058096436	2763,352673221858	2167,7834302150745	2330,1400836069797	2393,1386897464436 	
ACOT4	197,01041140746733	186,22065083786703	179,09965341125223 	83,24718267657319	99,9694388912627	104,66562390856683	
ACOT6	25,582930756266663	3,3117117365134394	12,947711538969136	16,033474321161144	29,313217244915585	14,800232328233069	
